Brand,Model Name,Price,Rating,SIM Type,Hybrid Sim Slot,Touchscreen,Display_size,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera,Network Type,Bluetooth Version,Wi-Fi,GPS Support,SIM Size,Battery Capacity,Width,Height,Weight,SIM Type,Hybrid Sim Slot,Dual Camera Lens,Color
REDMI,12,9999,4.2,Dual Sim,Yes,Yes,6.79,Android 13,Octa Core,128 GB,50MP + 8MP + 2MP,8MP Front Camera,"2G, 3G, 4G, 4G VOLTE",v5.3,Yes,Yes,Nano Sim,5000 mAh,76.28 mm,168.6 mm,198.5 g,Dual Sim,Yes,Primary Camera,Moonstone Silver
vivo,T2x 5G,15999,4.3,Dual Sim,Yes,Yes,6.58,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"5G, 4G, 3G",v5.1,Yes,Yes,Nano Sim,5000 mAh,75.6 mm,164.05 mm,184 g,Dual Sim,Yes,Primary Camera,Glimmer Black
POCO,C55,8499,4.1,Dual Sim,No,Yes,6.71,Android 12,Octa Core,128 GB,50MP Dual Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.41 mm,168.76 mm,192 g,Dual Sim,No,,Cool Blue
vivo,T2x 5G,15999,4.3,Dual Sim,Yes,Yes,6.58,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"5G, 4G, 3G",v5.1,Yes,Yes,Nano Sim,5000 mAh,75.6 mm,164.05 mm,184 g,Dual Sim,Yes,Primary Camera,Marine Blue
Infinix,SMART 7,7499,4.3,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,13MP + AI Lens,5MP Front Camera,"4G, 3G, 2G",v4.2,Yes,Yes,Nano Sim,6000 mAh,75.63 mm,164.2 mm,207 g,Dual Sim,No,,Night Black
MOTOROLA,g13,9999,4,Dual Sim,No,Yes,6.5,Android 13,Octa Core,128 GB,50MP + 2MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v4.2,Yes,Yes,Nano Sim,5000 mAh,74.66 mm,162.7 mm,182 g,Dual Sim,No,Primary Camera,Lavender Blue
APPLE,iPhone 13,52499,4.7,Dual Sim,No,Yes,6.1,iOS 15,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano + eSIM,3240 mAh,71.5 mm,146.7 mm,173 g,Dual Sim,No,Primary Camera,Midnight
vivo,T2x 5G,13999,4.4,Dual Sim,Yes,Yes,6.58,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"5G, 4G, 3G",v5.1,Yes,Yes,Nano Sim,5000 mAh,75.6 mm,164.05 mm,184 g,Dual Sim,Yes,Primary Camera,Aurora Gold
Infinix,HOT 30i,8399,4.2,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,50MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.75 mm,164 mm,191 g,Dual Sim,No,,Marigold
Infinix,HOT 30i,8399,4.2,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,50MP + AI Lens,5MP Front Camera,"2G, 3G, 4G",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.75 mm,164 mm,191 g,Dual Sim,No,,Glacier Blue
MOTOROLA,g73 5G,18999,4,Dual Sim,Yes,Yes,6.5,Android 13,Octa Core,128 GB,50MP + 8MP,16MP Front Camera,"2G, 3G, 4G, 5G",v5.3,Yes,Yes,Nano Sim,5000 mAh,73.84 mm,161.42 mm,181 g,Dual Sim,Yes,Primary Camera,Lucent White
