Brand,Model Name,Price,Rating,SIM Type,Hybrid Sim Slot,Touchscreen,Display_size,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera,Network Type,Bluetooth Version,Wi-Fi,GPS Support,SIM Size,Battery Capacity,Width,Height,Weight,SIM Type,Hybrid Sim Slot,Dual Camera Lens,Color
APPLE,Iphone 15,89900,4.8,Dual Sim(Nano + eSIM),No,Yes,6.1,iOS 17,Hexa Core,256 GB,48MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,1450 mAh,71.6 mm,147.6 mm,171 g,Dual Sim(Nano + eSIM),No,Primary Camera,Black
REDMI,Note 12 5G,18999,4.1,Dual Sim,Yes,Yes,6.67,Android 12,Octa Core,128 GB,48MP + 8MP + 2MP,13MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Matte Black
SAMSUNG,Galaxy M34 5G without charger,19000,4.3,Dual Sim,No,Yes,6.5,Android Android 13,Octa Core,128 GB,50MP Rear Camera,,5G,,,,Nano Sim,6000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,No,Primary Camera,Midnight Blue
Nokia,110 TA-1302 DS,1745,4,Dual Sim,No,No,1.77,,,4 MB,1MP Rear Camera,,2G,,,No,Mini SIM,800 mAh,49.85 mm,115.15 mm,74.96 g,Dual Sim,No,,Pink
REDMI,Note 12 5G,18999,4.1,Dual Sim,Yes,Yes,6.67,Android 12,Octa Core,128 GB,48MP + 8MP + 2MP,13MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Sunrise Gold
POCO,M5,8499,4.1,Dual Sim,No,Yes,6.58,Android 12,Octa Core,64 GB,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,"4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim,5000 mAh,76.09 mm,163.99 mm,201 g,Dual Sim,No,,Yellow
Kechaoda,K115,1130,4.1,Dual Sim,No,No,1.44,Android 12,Octa Core,32 MB,0.3MP Rear Camera,,2G,,,,Micro SIM,850 mAh,76.09 mm,163.99 mm,201 g,Dual Sim,No,,Black
realme,Narzo N53,11449,4.2,Dual Sim,No,Yes,6.74,Android Android 13.0,Octa Core,128 GB,50MP Rear Camera,,4G VOLTE,,,,Micro SIM,5000 mAh,76.09 mm,163.99 mm,201 g,Dual Sim,No,Primary Camera,Feather Gold
SAMSUNG,Galaxy F23 5G,16999,4.3,Dual Sim,No,Yes,6.6,Android 12,Octa Core,128 GB,50MP + 8MP + 2MP,8MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,77 mm,165.5 mm,198 g,Dual Sim,No,Primary Camera,Copper Blush
SAMSUNG,Galaxy F14 5G,13990,4.2,Dual Sim,No,Yes,6.6,Android 13,Octa Core,128 GB,50MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 5G",v5.2,Yes,Yes,Nano Sim,6000 mAh,77.2 mm,166.8 mm,205 g,Dual Sim,No,Primary Camera,OMG Black
REDMI,12c,9799,4.1,Dual Sim,No,Yes,6.71,"Android Q MIUI 13, Android 12.0",Octa Core,128 GB,50MP Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",,Yes,Yes,Nano Sim,5000 mAh,,,160 g,Dual Sim,No,Primary Camera,Matte Black
Infinix,Zero 5G 2023,24999,4.1,Dual Sim,No,Yes,6.78,Android 12,Octa Core,128 GB,50MP + 2MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.53 mm,168.73 mm,199 g,Dual Sim,No,Primary Camera,Submariner Black
REDMI,Note 12 Pro 5G,26999,4.2,Dual Sim,No,Yes,6.67,Android 12,Octa Core,256 GB,50MP (OIS) + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,76.03 mm,162.9 mm,187 g,Dual Sim,No,Primary Camera,Glacier Blue
realme,C55,13999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,64MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.2,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,Primary Camera,Rainforest
realme,C55,13999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,64MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.2,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,Primary Camera,Sunshower
APPLE,iPhone 14 Plus,73999,4.6,Dual Sim(Nano + eSIM),No,Yes,6.7,iOS 16,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,4323 mAh,78.1 mm,160.8 mm,203 g,Dual Sim(Nano + eSIM),No,Primary Camera,Starlight
Micromax,S114,989,3.7,Dual Sim,No,No,1.77,,Single Core,64 MB,0.08MP Rear Camera,,2G,,,,,1000 mAh,78.1 mm,160.8 mm,203 g,Dual Sim,No,Primary Camera,Dark Blue
Infinix,Zero 5G 2023,17999,4.1,Dual Sim,No,Yes,6.78,Android 12,Octa Core,128 GB,50MP + 2MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.53 mm,168.73 mm,199 g,Dual Sim,No,Primary Camera,Pearly White
Infinix,Note 12,12999,4.2,Dual Sim,No,Yes,6.7,Android 11,Octa Core,128 GB,50MP + 2MP Depth + AI Lens,16MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.6 mm,164.43 mm,184.5 g,Dual Sim,No,,Force Black
Kechaoda,K66 The Music House 4,1190,3.9,Dual Sim,Yes,No,1.8,0,,64 MB,1.3MP Rear Camera,,2G,,,,,400 mAh,76.6 mm,164.43 mm,184.5 g,Dual Sim,Yes,Primary Camera,Silver
realme,C55,13999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,64MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.2,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,Primary Camera,Rainy Night
Kechaoda,A26,975,4,Dual Sim,No,No,0.66,Android 13,Octa Core,32 MB,,,2G,,No,No,Micro,800 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,,Black
HOTLINE,H6700,649,3.2,Dual Sim,No,No,1.8,,,32 MB,0.3MP Rear Camera,,3G,4.2,,,,1000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,,Red
Kechaoda,A26,970,4,Dual Sim,No,No,0.66,,,32 MB,0.3MP Rear Camera,,2G,,No,,Micro,800 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,,Gold
REDMI,Note 12,12999,4.1,Dual Sim,No,Yes,6.67,Android 13,Octa Core,64 GB,50MP + 8MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 4G VOLTE",v5.0,Yes,Yes,Nano Sim,5000 mAh,75.96 mm,165.66 mm,186 g,Dual Sim,No,Primary Camera,Sunrise Gold
APPLE,Iphone 15 Plus,89900,4.6,Dual Sim(Nano + eSIM),No,Yes,6.7,iOS 17,Hexa Core,128 GB,48MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,5000 mAh,77.8 mm,160.9 mm,201 g,Dual Sim(Nano + eSIM),No,Primary Camera,Pink
SAMSUNG,Galaxy F13,10999,4.3,Dual Sim,No,Yes,6.6,Android 12,Octa Core,64 GB,50MP + 5MP + 2MP,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,6000 mAh,76.9 mm,165.4 mm,207 g,Dual Sim,No,Primary Camera,Sunrise Copper
POCO,M5,10499,4.2,Dual Sim,No,Yes,6.58,Android 12,Octa Core,128 GB,50MP + 2MP Depth Sensor + 2MP Macro Sensor,8MP Front Camera,"4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim,5000 mAh,76.09 mm,163.99 mm,201 g,Dual Sim,No,,Icy Blue
realme,C55,10999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,64 GB,64MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.2,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,Primary Camera,Rainy Night
REDMI,Note 12 Pro 5G,26999,4.2,Dual Sim,No,Yes,6.67,Android 12,Octa Core,256 GB,50MP (OIS) + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,76.03 mm,162.9 mm,187 g,Dual Sim,No,Primary Camera,Stardust Purple
Tecno,Spark Go 2023 6.56 HD+Display 13MP Dual Camera,7685,4,Dual Sim,No,Yes,6.56,Android Android12,Quad Core,64 GB,13MP Rear Camera,,4G VOLTE,,,,Nano Sim,5000 mAh,76.03 mm,162.9 mm,187 g,Dual Sim,No,Primary Camera,Orange
realme,C55,10999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,64 GB,64MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.2,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,Primary Camera,Rainforest
SAMSUNG,Guru Music 2,2880,4.3,Dual Sim,No,No,2,,,,64MP + 2MP,8MP Front Camera,2G,,,,,800 mAh,,,74.98 g,Dual Sim,No,Primary Camera,Gold
MOTOROLA,Edge 30 Fusion,42999,4.3,Dual Sim,No,Yes,6.55,Android 12,Octa Core,128 GB,50MP + 13MP + 2MP,32MP Front Camera,"5G, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,4400 mAh,71.99 mm,158.48 mm,175 g,Dual Sim,No,Primary Camera,Cosmic grey
POCO,M4 5G,12999,4.2,Dual Sim,No,Yes,6.58,Android 12,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"5G, 4G, 3G, 2G",v5.1,Yes,Yes,Nano,5000 mAh,76.09 mm,163.99 mm,200 g,Dual Sim,No,Primary Camera,Yellow
realme,C55,10999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,64 GB,64MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.2,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,Primary Camera,Sunshower
APPLE,iPhone 13,61499,4.7,Dual Sim,No,Yes,6.1,iOS 15,Hexa Core,256 GB,12MP + 12MP,12MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano + eSIM,5000 mAh,71.5 mm,146.7 mm,173 g,Dual Sim,No,Primary Camera,Blue
Kechaoda,A27,975,4,Dual Sim,No,No,0.66,iOS 15,Hexa Core,32 MB,12MP + 12MP,12MP Front Camera,2G,,No,,Micro SIM,800 mAh,71.5 mm,146.7 mm,173 g,Dual Sim,No,Primary Camera,Black
SAMSUNG,Galaxy M14 5G,13679,4.2,Dual Sim,No,Yes,6.6,Android Android 13.0,Octa Core,128 GB,50MP Rear Camera,,"5G, 4G VOLTE",,,,Micro SIM,6000 mAh,71.5 mm,146.7 mm,173 g,Dual Sim,No,Primary Camera,Berry Blue
REDMI,Note 12 5G,16999,3.9,Dual Sim,Yes,Yes,6.67,Android 12,Octa Core,128 GB,48MP + 8MP + 2MP,13MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Mystique Blue
realme,C55,11999,4.3,Dual Sim,No,Yes,6.72,Android 13,Octa Core,64 GB,64MP + 2MP,8MP Front Camera,"2G, 3G, 4G",v5.2,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,189.5 g,Dual Sim,No,Primary Camera,Rainforest
POCO,X5 Pro 5G,21999,4.3,Dual Sim,No,Yes,6.67,Android 12,Octa Core,256 GB,108MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.03 mm,162.91 mm,181 g,Dual Sim,No,Primary Camera,Yellow
Nokia,"2660 Flip 4G Volte Black keypad Mobile with Dual Sim & Screen, MP3 Player",4499,4.1,Dual Sim,No,No,2.8,,,0.125 GB,0.3MP Rear Camera,,"4G, 3G, 2G",v5.0,No,No,Nano Sim,1450 mAh,,,124.35 g,Dual Sim,No,,Black
OnePlus,Nord 3 5G,37200,4.3,Dual Sim,No,Yes,6.74,Android Android 13 OxygenOS,Octa Core,256 GB,50MP Rear Camera,,5G,,,,Nano Sim,5000 mAh,,,124.35 g,Dual Sim,No,Primary Camera,Misty Green
Tecno,Spark Go 2023,7995,4.1,Dual Sim,No,Yes,6.56,Android Q Android 12,Single Core,64 GB,13MP Rear Camera,,4G VOLTE,,Yes,,Neno-SIM card,5000 mAh,,,220 g,Dual Sim,No,Primary Camera,Endless Black
REDMI,Note 12 Pro+ 5G,29999,4.2,Dual Sim,No,Yes,6.67,Android 12,Octa Core,256 GB,200MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,4980 mAh,76.03 mm,162.9 mm,208 g,Dual Sim,No,Primary Camera,Arctic White
REDMI,Note 12 5G,20999,4.1,Dual Sim,Yes,Yes,6.67,Android 12,Octa Core,256 GB,48MP + 8MP + 2MP,13MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Frosted Green
KARBONN,Jumbo K9,1288,4,Dual Sim,,,2.6,,,,1.3MP Rear Camera,,,,No,No,Mini SIM,1800 mAh,50 mm,115 mm,112 g,Dual Sim,,,Black and Red
APPLE,Iphone 15 Pro,134900,4.7,Dual Sim(Nano + eSIM),No,Yes,6.1,iOS 17,Hexa Core,128 GB,48MP + 12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,1800 mAh,70.6 mm,146.6 mm,187 g,Dual Sim(Nano + eSIM),No,Primary Camera,Natural Titanium
OnePlus,10R,27965,4.3,Dual Sim,No,Yes,6.7,Android 12,Octa Core,128 GB,50MP Rear Camera,16MP Front Camera,5G,,,,Nano Sim + eSIM,5000 mAh,70.6 mm,146.6 mm,187 g,Dual Sim,No,Primary Camera,Forest Green
POCO,X5 5G,16999,4.9,Dual Sim,Yes,Yes,6.67,Android 12,Octa Core,256 GB,48MP + 8MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 4G VOLTE, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Supernova Green
realme,10,13999,4.3,Dual Sim,No,Yes,6.4,Android 12,Octa Core,128 GB,50MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.3,,Yes,Nano Sim,5000 mAh,73.3 mm,159.9 mm,178 g,Dual Sim,No,Primary Camera,Clash White
REDMI,11 Prime,10999,4.3,Dual Sim,No,Yes,6.58,Android 12,Octa Core,128 GB,50MP + 2MP + 2MP,8MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim,5000 mAh,76.09 mm,163.99 mm,201 g,Dual Sim,No,Primary Camera,Flashy Black
itel,It2175 Keypad Mobile|1200 mAh battery|Expandable Storage upto 32GB,1149,4,Dual Sim,No,No,1.8,,,4 MB,0.3MP Rear Camera,,2G,,,,Mini Sim,1200 mAh,51 mm,118.9 mm,80.4 g,Dual Sim,No,,Deep Blue
realme,10,13999,4.3,Dual Sim,No,Yes,6.4,Android 12,Octa Core,128 GB,50MP + 2MP,16MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.3,,Yes,Nano Sim,5000 mAh,73.3 mm,159.9 mm,178 g,Dual Sim,No,Primary Camera,Rush Black
Infinix,NOTE 12i,10999,4.2,Dual Sim,No,Yes,6.7,Android 12,Octa Core,64 GB,50 MP + 2 MP + QVGA,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.6 mm,164.43 mm,188 g,Dual Sim,No,Primary Camera,Force Black
Infinix,HOT 20 Play,8999,4.4,Dual Sim,No,Yes,6.82,Android 12,Octa Core,64 GB,13Mp + AI Lens,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,6000 mAh,78 mm,171 mm,210 g,Dual Sim,No,,Luna Blue
Infinix,HOT 20 Play,8999,4.4,Dual Sim,No,Yes,6.82,Android 12,Octa Core,64 GB,13Mp + AI Lens,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,6000 mAh,78 mm,171 mm,210 g,Dual Sim,No,,Fantasy Purple
KARBONN,K9,1293,4.1,Dual Sim,,No,2.6,Belle,Single Core,,2MP Rear Camera,,,,No,No,,1800 mAh,78 mm,171 mm,210 g,Dual Sim,,,Black And Red
Infinix,HOT 20 Play,8999,4.4,Dual Sim,No,Yes,6.82,Android 12,Octa Core,64 GB,13Mp + AI Lens,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,6000 mAh,78 mm,171 mm,210 g,Dual Sim,No,,Aurora Green
Micromax,X413,959,4,Dual Sim,No,No,1.77,,Single Core,32 MB,0.3MP Rear Camera,,2G,,,,Nano Sim,800 mAh,78 mm,171 mm,210 g,Dual Sim,No,,Black
APPLE,iPhone 14,64999,4.6,Dual Sim(Nano + eSIM),No,Yes,6.1,iOS 16,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,3279 mAh,71.5 mm,146.7 mm,172 g,Dual Sim(Nano + eSIM),No,Primary Camera,Yellow
Micromax,X818,1515,3.9,Dual Sim,No,No,2.8,,Single Core,32 MB,0.3MP Rear Camera,,2G,,,,Nano Sim + eSIM,1450 mAh,71.5 mm,146.7 mm,172 g,Dual Sim,No,Primary Camera,Blue
OPPO,Reno10 Pro 5G,39999,4.3,Dual Sim,No,Yes,6.7,Android 13,Octa Core,256 GB,50MP + 32MP + 8MP,32MP Front Camera,"5G, 4G, 3G, 2G",,Yes,Yes,Nano Sim,4600 mAh,,,185 g,Dual Sim,No,Primary Camera,Silvery Grey
SAMSUNG,Galaxy F34 5G,24499,4.2,Dual Sim,Yes,Yes,6.5,Android 13,Octa Core,128 GB,50MP (OIS) + 8MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 5G",v5.3,Yes,Yes,Nano Sim,6000 mAh,77.2 mm,161.7 mm,208 g,Dual Sim,Yes,Primary Camera,Electric Black
Kechaoda,A27,999,4,Dual Sim,No,No,0.66,Android 13,Octa Core,32 MB,50MP (OIS) + 8MP + 2MP,13MP Front Camera,2G,,No,,Micro SIM,800 mAh,77.2 mm,161.7 mm,208 g,Dual Sim,No,Primary Camera,Grey
Infinix,HOT 20 Play,8999,4.4,Dual Sim,No,Yes,6.82,Android 12,Octa Core,64 GB,13Mp + AI Lens,8MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,6000 mAh,78 mm,171 mm,210 g,Dual Sim,No,,Racing Black
KARBONN,K9,1375,4.1,Dual Sim,,,2.4,Android 12,Octa Core,,13Mp + AI Lens,8MP Front Camera,,,,,Nano Sim,1800 mAh,78 mm,171 mm,210 g,Dual Sim,,,Black
Infinix,Note 12,12999,4.2,Dual Sim,No,Yes,6.7,Android 11,Octa Core,128 GB,50MP + 2MP Depth + AI Lens,16MP Front Camera,"4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.6 mm,164.43 mm,184.5 g,Dual Sim,No,,Jewel Blue
OPPO,A58,14999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,192 g,Dual Sim,No,Primary Camera,Dazzling Green
Micromax,X818,1575,3.9,Dual Sim,No,No,2.8,,Single Core,32 MB,0.3MP Rear Camera,,2G,,,,Nano Sim,1450 mAh,75.98 mm,165.65 mm,192 g,Dual Sim,No,Primary Camera,Maroon
REDMI,Note 12 5G,18999,4.1,Dual Sim,Yes,Yes,6.67,Android 12,Octa Core,128 GB,48MP + 8MP + 2MP,13MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Mystique Blue
itel,Power 110 Neo| 2500 mAh battery| Expandable Storage Upto 32GB,1299,4.1,Dual Sim,No,No,1.8,,,32 MB,0.3MP Rear Camera,,2G,,,,Nano Sim,2500 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,No,,Black
POCO,C51,8499,4,Dual Sim,No,Yes,6.52,Android 13 Go,Octa Core,128 GB,8MP Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.75 mm,164.9 mm,192 g,Dual Sim,No,Primary Camera,Royal Blue
APPLE,iPhone 14 Pro Max,127999,4.6,Dual Sim(Nano + eSIM),No,Yes,6.7,iOS 16,Hexa Core,128 GB,48MP + 12MP + 12MP,12MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim + eSIM,4323 mAh,77.6 mm,160.7 mm,240 g,Dual Sim(Nano + eSIM),No,Primary Camera,Deep Purple
itel,Magic X Pro 4G| 2500mAh Big Battery| Expandable Storage upto 64GB,2287,3.9,Dual Sim,No,No,2.4,RTOS,,128 MB,0.3MP Rear Camera,,4G,,Yes,,,2500 mAh,77.6 mm,160.7 mm,240 g,Dual Sim,No,Primary Camera,Black
OPPO,A58,14999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"4G, 3G, 2G",v5.3,Yes,Yes,Nano Sim,5000 mAh,75.98 mm,165.65 mm,192 g,Dual Sim,No,Primary Camera,Glowing Black
realme,10 Pro+ 5G,22999,4.4,Dual Sim,No,Yes,6.7,Android 13,Octa Core,128 GB,108MP + 8MP + 2MP,16MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,,Yes,Nano Sim,5000 mAh,73.9 mm,161.5 mm,174.5 g,Dual Sim,No,Primary Camera,Hyperspace
I,K3310,744,3.6,Dual Sim,No,No,1.77,,,32 MB,0.3MP Rear Camera,,2G,,,,,1000 mAh,,,200 g,Dual Sim,No,,Sky Blue
realme,Narzo N55,12579,4.3,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,64MP Rear Camera,,4G VOLTE,,,,,5000 mAh,,,200 g,Dual Sim,No,Primary Camera,Prime Blue
REDMI,Note 12 5G,18999,4.1,Dual Sim,Yes,Yes,6.67,Android 12,Octa Core,128 GB,48MP + 8MP + 2MP,13MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Frosted Green
OnePlus,10R,27900,4.3,Dual Sim,No,Yes,6.7,Android 12,Octa Core,128 GB,50MP Rear Camera,16MP Front Camera,5G,,,,Nano Sim,5000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,No,,Sierra Black
Kechaoda,K66 The Music House 4,1179,3.9,Dual Sim,Yes,No,1.8,0,,64 MB,1.3MP Rear Camera,,2G,,,,,400 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,Yes,Primary Camera,Rose Pink
GFive,V8,699,3.7,Dual Sim,No,No,1.8,0,,32 MB,0.3MP Rear Camera,,2G,,,,NORMAL,1000 mAh,76.21 mm,165.88 mm,188 g,Dual Sim,No,,BLACK + GOLD
Nokia,106,1539,4.2,Single Sim,No,No,6.7,,,32 MB,,,2G,,No,No,Mini Sim,1000 mAh,,,79.7 g,Single Sim,No,,Emerald Green
APPLE,iPhone 12,48999,4.6,Dual Sim,No,Yes,6.1,iOS 14,,64 GB,12MP + 12MP,12MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano + eSIM,2815 mAh,71.5 mm,146.7 mm,162 g,Dual Sim,No,Primary Camera,Black
OPPO,F21s Pro,17397,4.2,Dual Sim,No,Yes,6.43,Android 12,Octa Core,128 GB,64MP + 2MP + 2MP,32MP Front Camera,"2G, 3G, 4G",v5.1,Yes,Yes,Nano Sim,4500 mAh,73.2 mm,159.9 mm,182 g,Dual Sim,No,Primary Camera,Dawnlight Gold
DIZO,Star 300,1282,3.9,Dual Sim,No,No,1.77,,,32 MB,0.3MP Rear Camera,,2G,,,,Micro SIM + Micro SIM,2550 mAh,52 mm,119.5 mm,105 g,Dual Sim,No,,Black
GFive,U707,725,3.5,Dual Sim,No,No,1.8,,,32 MB,0.3MP Rear Camera,,3G,,No,,Normal SIM,1000 mAh,52 mm,119.5 mm,105 g,Dual Sim,No,,Black Red
GFive,U707,725,3.5,Dual Sim,No,No,1.8,,,64 MB,0.3MP Rear Camera,,2G,,No,,Normal SIM,950 mAh,52 mm,119.5 mm,105 g,Dual Sim,No,,Blue & Red
APPLE,iPhone 12,48999,4.6,Dual Sim,No,Yes,6.1,iOS 14,,64 GB,12MP + 12MP,12MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano + eSIM,950 mAh,71.5 mm,146.7 mm,162 g,Dual Sim,No,Primary Camera,Green
LAVA,A1 2021,1195,4,Dual Sim,No,No,1.77,,,24 MB,0.3MP Rear Camera,0.3MP Front Camera,2G,v3.0,No,Yes,Macro Sim,800 mAh,48 mm,112 mm,120 g,Dual Sim,No,,White
SAMSUNG,GALAXY M13 5G,12080,4.2,Dual Sim,No,Yes,6.5,Android Q 12,Octa Core,64 GB,50MP Rear Camera,,5G,,,,Macro Sim,5000 mAh,48 mm,112 mm,120 g,Dual Sim,No,Primary Camera,Midnight Blue
MOTOROLA,G62 5G,16999,4.1,Dual Sim,Yes,Yes,16.51,Android 12,Octa Core,128 GB,50MP + 8MP + 2MP,16MP Front Camera,"5G, 4G, 3G, 2G",v5.1,Yes,Yes,Nano Sim,5000 mAh,73.96 mm,161.83 mm,184 g,Dual Sim,Yes,Primary Camera,Midnight Gray
REDMI,10,10510,4.3,Dual Sim,No,Yes,6.7,Android 11,Octa Core,64 GB,50MP + 2MP,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,6000 mAh,76.56 mm,169.59 mm,203 g,Dual Sim,No,Primary Camera,Pacific Blue
Nokia,106,1349,4.2,Single Sim,No,No,6.7,,,32 MB,,,2G,,No,No,Mini Sim,1000 mAh,,,79.7 g,Single Sim,No,,Terracotta Red
